Indicator,PUBLISH STATES,Year,WHO region,World Bank income group,Country,Sex,Display Value,Numeric
Life expectancy at birth (years),Published,2010,Eastern Mediterranean,,Afghanistan,Male,59.6,59.60036
Life expectancy at birth (years),Published,2010,Eastern Mediterranean,,Afghanistan,Female,60.3,60.2972
Life expectancy at birth (years),Published,2010,Eastern Mediterranean,,Afghanistan,Both sexes,59.9,59.94055
Life expectancy at birth (years),Published,2010,Africa,,Angola,Male,55.8,55.77834
Life expectancy at birth (years),Published,2010,Africa,,Angola,Female,60.5,60.52821
Life expectancy at birth (years),Published,2010,Africa,,Angola,Both sexes,58.1,58.06943
Life expectancy at birth (years),Published,2015,Africa,,Angola,Both sexes,61.7,61.71907
Life expectancy at birth (years),Published,2015,Europe,,Albania,Male,76.1,76.1022
Life expectancy at birth (years),Published,2015,Europe,,Albania,Female,79.7,79.68682
Life expectancy at birth (years),Published,2015,Europe,,Albania,Both sexes,77.8,77.84428
Life expectancy at birth (years),Published,2015,Eastern Mediterranean,,United Arab Emirates,Male,74.3,74.25413
Life expectancy at birth (years),Published,2015,Eastern Mediterranean,,United Arab Emirates,Female,77.8,77.84315
Life expectancy at birth (years),Published,2019,Eastern Mediterranean,,United Arab Emirates,Both sexes,76.1,76.07952
Life expectancy at birth (years),Published,2019,Americas,,Argentina,Male,73.5,73.5108
Life expectancy at birth (years),Published,2019,Americas,,Argentina,Female,79.5,79.50281
Life expectancy at birth (years),Published,2019,Americas,,Argentina,Both sexes,76.6,76.57514
Life expectancy at birth (years),Published,2019,Europe,,Armenia,Male,72.5,72.48704
Life expectancy at birth (years),Published,2019,Europe,,Armenia,Female,79.2,79.16326
Life expectancy at birth (years),Published,2000,Europe,,Armenia,Both sexes,71.9,71.88136
Life expectancy at birth (years),Published,2000,Americas,,Antigua and Barbuda,Male,72,71.99642
Life expectancy at birth (years),Published,2000,Americas,,Antigua and Barbuda,Female,77,76.95264
Life expectancy at birth (years),Published,2000,Americas,,Antigua and Barbuda,Both sexes,74.6,74.56184
Life expectancy at birth (years),Published,2000,Western Pacific,,Australia,Male,77.1,77.12505
Life expectancy at birth (years),Published,2000,Western Pacific,,Australia,Female,82.2,82.24073
Life expectancy at birth (years),Published,2010,Western Pacific,,Australia,Both sexes,81.9,81.9043
Life expectancy at birth (years),Published,2010,Europe,,Austria,Male,77.6,77.64973
Life expectancy at birth (years),Published,2010,Europe,,Austria,Female,83,82.98865
Life expectancy at birth (years),Published,2010,Europe,,Austria,Both sexes,80.4,80.3856
